Week,What is the EU?,How much does the UK pay to the EU?,What happens if the UK leaves the EU?,How many countries are in the EU?,How do I vote in the EU elections?,How much does each country pay to the EU?,Why should the UK stay in the EU?,When was the EU formed?,Will the UK leave the EU?,Why should the UK leave the EU?
01/06/2013,89.854299,4.912018,0,2.459943,0,0,0,0,8.831887,6.428225
01/13/2013,83.666151,4.651653,0,9.318209,0,2.307376,3.364999,0,10.01747,9.296239
01/20/2013,80.762566,4.651581,6.662923,4.659032,0,2.331568,4.942352,4.624669,8.288854,9.229475
01/27/2013,81.23258,4.790356,5.16767,4.798029,0,3.57056,5.173852,2.367224,6.842803,9.556774
02/03/2013,88.640963,7.258076,0,14.539405,0,4.809552,1.71986,2.394548,5.179964,7.187105
02/10/2013,68.332888,4.852269,0,17.010146,0,2.427251,1.728898,2.343224,5.249122,7.321381
02/17/2013,81.795198,9.92005,0,4.967971,0,0,5.34198,2.343224,5.31828,2.439281
02/24/2013,73.17844,4.840867,0,21.818796,0,0,3.3992,2.343224,7.023931,2.439281
03/03/2013,79.319617,4.827081,0,19.339255,0,0,3.3992,2.343224,5.073994,2.403625
03/10/2013,78.582781,7.058801,0,4.771614,0,0,3.3992,2.343224,5.073994,2.381296
03/17/2013,115.856748,9.29052,0,11.631753,0,0,1.674434,2.302176,3.3385,2.316374
03/24/2013,53.935776,4.864633,0,4.872426,0,0,1.761945,3.495919,1.754431,2.451626
03/31/2013,44.656535,4.797421,0,7.505734,0,0,2.321181,4.689662,1.790873,3.600903
04/07/2013,66.502524,4.797421,0,14.415317,0,0,2.880417,5.883406,3.451913,4.75018
04/14/2013,86.143884,4.750536,0,4.805201,0,0,3.439652,7.077149,4.266083,7.178657
04/21/2013,75.325513,4.750536,0,14.274439,0,0,1.711439,4.736935,5.080253,4.707845
04/28/2013,84.594865,4.819837,0,14.482674,0,0,3.451806,2.3708,1.722412,2.416996
05/05/2013,58.131501,14.523249,3.482952,2.424419,0,2.446713,8.748535,2.3708,5.1971,7.265676
05/12/2013,92.951182,13.884909,6.593579,20.860727,0,2.297524,1.642756,2.3708,6.614068,6.970634
05/19/2013,59.576026,2.405862,1.781402,9.638866,0,0,6.842245,2.3708,1.702444,2.383041
05/26/2013,51.802763,7.444442,1.781402,9.941824,0,0,1.7243,2.334959,1.781082,2.466798
06/02/2013,71.824397,4.973484,1.777164,4.981451,0,0,1.7243,2.334959,1.682818,3.595592
06/09/2013,80.314563,2.364358,1.724222,7.104437,0,0,1.7243,2.334959,1.682818,4.724386
06/16/2013,55.115204,2.397586,1.724222,4.802854,0,0,1.7243,4.758261,1.70851,4.792626
06/23/2013,52.814905,7.215868,1.743393,4.818285,0,0,1.72673,0,1.734202,4.801355
06/30/2013,79.39079,5.144962,1.762564,10.306407,0,0,1.827978,0,1.839541,4.953495
07/07/2013,83.090359,2.680522,1.781735,5.369633,0,0,1.929226,0,1.865209,5.105635
07/14/2013,60.464404,15.826813,1.800905,7.926083,0,2.621136,0,0,1.890878,5.257774
07/21/2013,58.295515,5.042495,1.820076,2.525286,0,2.524602,0,0,3.095182,2.534588
07/28/2013,70.700121,5.01111,1.813107,5.868132,0,2.524602,0,0,4.299486,2.525004
08/04/2013,40.804706,6.265678,1.813107,9.210977,0,0,0,0,5.50379,2.511288
08/11/2013,55.248328,7.520247,1.813107,12.553823,0,0,0,0,1.813096,2.511288
08/18/2013,45.849137,2.530441,1.813107,5.068989,0,0,0,0,1.813096,2.536342
08/25/2013,51.227944,4.925482,1.738278,10.241674,0,0,0,0,1.723866,2.561397
09/01/2013,56.150776,7.320523,1.738278,4.888167,0,0,0,0,1.723866,2.336525
09/08/2013,50.524792,4.851213,1.738278,4.858984,0,0,0,9.598582,1.723866,2.336525
09/15/2013,81.563899,11.964174,1.738696,14.380008,0,0,0,4.793454,1.720925,2.336525
09/22/2013,67.777432,7.245387,1.739115,16.932986,0,0,1.747132,4.793454,2.283723,2.336525
09/29/2013,72.432287,4.716004,1.65197,11.808897,0,2.354514,1.697762,2.340895,2.846521,2.336525
10/06/2013,89.746263,4.732854,1.65197,9.493098,0,0,1.699281,2.329755,3.409319,2.361744
10/13/2013,73.583123,4.749704,1.65197,4.757312,0,0,1.709986,2.329755,5.043365,4.747298
10/20/2013,95.65867,2.329227,1.65197,9.331831,0,0,3.30408,3.432596,3.334344,2.333138
10/27/2013,63.676241,9.143781,2.444773,11.448035,0,0,1.631841,4.535437,4.104548,2.274151
11/03/2013,83.988681,6.829479,3.237576,11.4007,0,0,3.240877,2.243267,4.874753,4.527722
11/10/2013,61.031631,4.509775,0,2.2585,0,0,1.598302,2.24359,1.637394,6.781292
11/17/2013,87.921448,6.771383,0,11.303717,0,2.253514,1.598302,2.234606,4.830116,2.253835
11/24/2013,121.895462,6.619002,0,4.419737,0,2.217309,1.598302,2.189329,4.78853,2.215094
12/01/2013,90.663134,6.645148,0,17.748782,0,0,1.603826,2.189329,4.78853,2.210788
12/08/2013,73.567037,4.743612,0,4.751211,0,0,0,9.389321,1.694943,2.358903
12/15/2013,45.126337,4.97979,0,12.469419,0,0,0,7.433177,2.86182,2.507019
12/22/2013,56.443023,2.458205,0,2.80869,0,0,0,6.436935,4.028696,2.822151
12/29/2013,44.144724,2.458205,0,9.848572,0,0,0,6.436935,4.265292,2.139474
01/05/2014,85.511652,2.182659,1.576813,10.930779,0,0,0,6.436935,4.501888,2.139474
01/12/2014,78.794324,6.515014,1.5381,15.22605,0,0,1.577482,6.436935,4.738484,2.139474
01/19/2014,59.90526,4.303963,1.5381,8.621714,0,0,1.537743,6.436935,3.077688,2.139474
01/26/2014,112.146246,2.124193,1.533064,4.255192,0,0,1.573978,6.32452,3.077688,3.33407
02/02/2014,79.251664,11.34949,1.544528,11.367671,1.620019,0,1.610213,2.231132,1.612562,4.528667
02/09/2014,78.813148,2.181244,1.555993,8.738954,0,0,1.568366,2.148717,1.555683,2.189254
02/16/2014,63.218234,9.084702,1.622515,6.823746,0,4.53853,1.568366,2.173152,1.633682,2.257794
02/23/2014,104.639855,6.66853,1.578755,11.09775,0,0,1.568366,2.197586,3.181679,4.451574
03/02/2014,75.043546,6.66853,2.417068,11.128619,0,0,1.56858,4.361662,3.17263,4.481791
03/09/2014,97.008197,6.729786,3.255381,8.987422,0,0,3.256582,6.694162,3.24502,4.512009
03/16/2014,88.003778,4.406466,1.599275,6.620287,0,0,3.127702,4.33581,1.595603,2.200094
03/23/2014,79.484713,8.746003,1.599275,15.330023,0,0,1.578379,4.332627,3.199188,4.415817
03/30/2014,106.167627,2.192328,1.599275,10.979201,3.191693,2.229858,3.191591,2.245051,4.802772,6.635477
04/06/2014,103.923631,6.757202,1.571751,6.768026,3.328818,2.238462,3.315851,2.245051,6.518406,6.777628
04/13/2014,62.349122,4.775889,1.571751,4.783539,3.465943,2.247066,3.440111,4.731636,1.624651,2.270506
04/20/2014,106.713759,2.251738,1.571751,4.510691,1.62442,2.255669,1.631435,2.146197,1.624651,2.270506
04/27/2014,107.384934,2.193818,1.571751,2.197333,6.313575,2.283122,1.581601,2.146197,3.1658,6.574588
05/04/2014,85.395339,13.13021,2.377973,17.534992,10.976067,2.310576,4.708344,2.169857,1.569724,6.567072
05/11/2014,100.886348,6.654133,3.184196,19.994377,12.73185,2.338029,4.818276,3.427441,6.408349,8.967675
05/18/2014,133.060913,14.056751,1.695023,7.039634,148.884679,2.365482,6.739635,4.685025,8.406099,9.336356
05/25/2014,105.796197,15.11404,5.429819,15.138251,7.283842,2.403533,1.751361,2.414538,21.729904,7.556871
06/01/2014,83.236665,2.434971,1.746595,4.877743,0,2.441584,1.751361,2.414538,1.735539,2.448137
06/08/2014,85.484817,2.501111,1.804311,12.760273,0,2.479635,1.82333,5.033122,1.8354,2.590449
06/15/2014,77.490866,2.567251,1.862028,7.71409,0,2.517687,1.863786,2.560862,4.58288,2.583029
06/22/2014,75.112063,10.188283,3.68163,12.755755,0,2.555738,1.844608,2.502042,7.330359,5.180142
06/29/2014,77.690902,5.135952,5.516765,12.87037,0,2.557985,3.678538,2.502042,7.382569,2.589303
07/06/2014,71.454839,5.135952,0,10.288359,0,2.560231,3.649872,2.502042,5.483483,5.103917
07/13/2014,55.311944,5.04487,0,10.105903,0,2.470088,3.655376,2.502042,5.542682,2.514179
07/20/2014,55.00054,2.581039,0,2.540557,0,2.470088,0,2.552401,5.601881,0
07/27/2014,55.761991,5.072987,0,2.540557,0,2.470088,0,2.466318,5.704855,0
08/03/2014,50.897327,8.121164,0,5.422782,0,2.470088,0,2.426408,5.80783,0
08/10/2014,45.321199,12.393312,0,7.447899,0,2.470088,0,2.426408,5.361792,0
08/17/2014,71.305704,7.675867,0,5.125442,0,2.372029,0,2.426408,1.814862,0
08/24/2014,37.994928,2.515221,0,5.0385,0,2.372029,0,2.426408,1.810613,10.131981
08/31/2014,90.382861,2.442484,0,11.027948,0,2.372029,0,2.426408,3.492295,2.443182
09/07/2014,90.425075,7.281506,0,17.017397,0,2.372029,0,2.385313,1.722012,2.443182
09/14/2014,88.431261,2.401637,1.705584,12.027423,0,2.372029,5.129951,2.350003,1.722012,2.3893
09/21/2014,96.366668,7.160168,1.685701,16.733823,0,2.827521,5.10991,3.264144,1.718102,2.409167
09/28/2014,85.27092,7.090245,1.685701,16.570406,0,3.283014,5.10991,4.178286,3.396207,4.737273
10/05/2014,137.992228,2.346761,1.685701,2.35052,0,3.738506,1.673632,5.092427,1.677508,2.338767
10/12/2014,91.340087,4.657411,1.665089,9.329743,0,4.193999,2.518544,6.006569,6.652461,2.342054
10/19/2014,101.016733,58.464123,5.013523,11.710374,0,4.649492,3.363456,6.92071,13.484558,4.698453
10/26/2014,63.721764,28.11102,3.384754,9.38535,0,4.690927,3.330971,2.282865,10.217359,2.360065
11/02/2014,110.896353,16.166298,1.657744,20.818537,0,0,3.330971,2.282865,4.869021,2.310014
11/09/2014,107.950657,13.504483,1.623029,2.254353,0,0,3.264043,2.242126,4.869021,6.746916
