Week,What is the EU?,How much does the UK pay to the EU?,What happens if the UK leaves the EU?,How many countries are in the EU?,How do I vote in the EU elections?,How much does each country pay to the EU?,Why should the UK stay in the EU?,When was the EU formed?,Will the UK leave the EU?,Why should the UK leave the EU?
11/16/2014,95.088353,4.642571,0,9.300017,1.664052,0,1.666434,3.011016,5.004289,2.319228
11/23/2014,135.808632,4.3686,0,6.563398,0,0,1.5766,3.779906,4.74218,6.571385
11/30/2014,105.826218,16.019515,0,6.876504,0,0,4.953063,4.548796,1.689327,6.90171
12/07/2014,93.473603,7.039677,0,9.401272,0,0,1.777442,2.298997,1.689327,7.165121
12/14/2014,76.761491,14.813393,0,9.891415,0,0,1.777442,2.444502,3.545748,7.428531
12/21/2014,47.801384,2.509291,0,8.469802,0,0,2.042934,2.810992,6.072969,2.811573
12/28/2014,57.6936,2.509291,0,2.513311,0,0,2.308426,2.465426,3.595128,2.161919
01/04/2015,86.485426,4.326714,0,8.66729,0,2.147119,2.573919,3.364236,3.068169,2.161919
01/11/2015,103.772118,4.335141,0,13.026255,0,2.857323,2.839411,4.263047,3.068169,2.161919
01/18/2015,93.181639,4.339148,0,17.384395,0,3.567527,3.104903,2.146456,3.06541,6.500313
01/25/2015,94.655778,8.576022,0,8.58976,0,4.277731,1.535664,2.131624,3.06541,6.453803
02/01/2015,67.990919,6.625906,1.561719,17.697387,0,2.233055,3.118532,2.160928,1.562796,2.193255
02/08/2015,65.361977,6.661271,1.581802,6.579976,1.587947,2.233055,3.168577,2.190233,3.950741,3.332442
02/15/2015,102.88214,6.696636,1.601884,8.943151,0,2.233055,3.919055,2.207582,6.338686,4.471629
02/22/2015,120.696006,4.302395,1.544374,8.618573,0,2.181335,4.669533,4.228495,1.533731,6.097114
03/01/2015,88.932643,2.1844,1.572513,13.127395,0,2.181335,3.174219,2.183599,4.685595,7.722599
03/08/2015,86.761315,6.516291,1.567681,6.52673,0,2.15204,3.174219,2.183599,3.126953,9.348083
03/15/2015,79.009689,13.416462,1.586187,11.198295,0,2.197053,3.174219,2.183599,1.708235,10.973568
03/22/2015,83.693832,11.956249,1.604694,4.790161,0,0,1.707613,3.332181,1.708235,4.517147
03/29/2015,81.308642,18.036228,1.6232,9.03256,0,0,2.761338,4.480763,3.254725,4.517147
04/05/2015,83.630367,11.952018,3.477973,4.788466,0,0,3.815063,2.236448,5.193683,4.778878
04/12/2015,108.205492,13.525065,3.248646,11.288942,0,0,4.868788,2.236448,4.840636,6.762843
04/19/2015,99.444588,2.271659,6.825317,20.477681,0,0,3.21941,2.235162,1.604067,2.260104
04/26/2015,98.031351,8.686098,10.401988,15.225022,0,2.169871,3.133015,4.344295,3.110184,2.178474
05/03/2015,131.4181,13.057056,13.978659,6.538986,0,2.150087,9.315539,10.771544,10.825135,25.852741
05/10/2015,116.654631,11.058895,4.746914,11.076611,0,2.15993,1.597051,4.336334,15.942469,6.603092
05/17/2015,105.681237,6.653964,4.727085,17.772329,0,2.169773,1.626906,2.185616,11.087035,6.605077
05/24/2015,105.949949,6.953036,6.576589,11.606956,0,2.179617,1.656761,3.298336,21.505953,9.214336
05/31/2015,66.102211,4.400424,6.342483,8.814946,0,2.18946,6.328214,4.411056,12.649525,8.813628
06/07/2015,101.506185,6.796149,3.239909,11.345061,0,2.218617,4.853646,5.523777,16.222566,11.278188
06/14/2015,100.456168,15.597123,3.246824,20.085568,0,2.247775,3.228682,6.636497,11.284792,11.159628
06/21/2015,123.290635,8.943859,3.253739,11.322865,0,2.217891,3.24224,4.42338,11.369478,8.966592
06/28/2015,91.471682,8.943859,1.601835,13.437279,0,2.217891,1.620837,2.201849,6.445648,6.69305
07/05/2015,92.813938,13.370176,1.610401,6.695797,0,2.217891,1.620837,2.208995,9.596795,2.209856
07/12/2015,70.729901,13.447614,1.615046,2.244859,0,0,1.620837,2.200672,8.013087,2.226799
07/19/2015,71.063439,6.73333,1.61969,2.232314,0,0,1.620837,0,3.243287,2.243743
07/26/2015,72.158234,6.73333,1.624335,4.496078,0,0,1.620837,0,3.233359,2.260687
08/02/2015,82.001784,6.866889,1.617762,2.247994,0,0,1.636602,0,3.255399,2.277631
08/09/2015,58.49428,8.977594,1.617762,2.247994,0,0,1.610314,0,4.838517,2.252871
08/16/2015,87.861982,2.259273,1.617762,4.525784,0,0,1.583204,0,1.627212,2.252871
08/23/2015,57.207174,2.217411,1.617762,8.883851,0,0,1.583204,0,4.857666,2.189065
08/30/2015,98.614249,4.458959,1.617762,24.563563,0,0,1.614642,2.217403,8.08812,2.189065
09/06/2015,119.528515,4.50236,4.8161,13.528718,0,0,1.609164,2.219772,16.248413,2.189065
09/13/2015,91.940709,4.360379,3.127731,15.285774,0,0,3.124899,4.320808,3.111311,2.189065
09/20/2015,104.560767,6.487203,3.127731,17.32692,0,0,3.135765,2.15674,3.111311,4.356699
09/27/2015,94.952544,4.313486,3.033213,17.281583,0,0,4.644361,2.134993,4.667221,4.314975
10/04/2015,99.598654,19.208113,3.033213,10.688268,0,4.254771,1.528447,4.203095,7.65573,2.11912
10/11/2015,132.921203,19.245458,6.225142,12.850858,0,2.138993,4.637349,2.122841,3.075831,10.719452
10/18/2015,103.305448,20.378463,1.53666,10.700128,1.534082,2.129148,3.045306,2.120194,1.531346,2.152197
10/25/2015,109.372852,21.511468,1.53666,10.772964,0,0,1.509947,2.117524,4.606708,4.289131
11/01/2015,73.452756,4.20292,2.261967,12.628958,0,0,1.509947,4.15679,4.560307,2.09865
11/08/2015,104.074815,6.275624,2.987274,12.571355,0,0,1.505957,2.071777,4.485721,8.325985
11/15/2015,154.487213,4.155772,3.012477,14.568501,0,0,7.47728,4.100813,1.496516,4.174429
11/22/2015,110.574536,2.058357,1.590497,14.431583,0,0,5.838185,2.037526,4.413023,8.190706
11/29/2015,119.654515,10.384044,1.590497,14.56095,0,4.13688,1.477716,3.132654,5.906941,2.063009
12/06/2015,72.970548,4.277321,1.590497,10.710432,0,2.251813,4.56639,4.227783,6.108258,12.877155
12/13/2015,103.467958,15.762377,1.590497,9.021501,0,2.251813,4.791791,4.438845,9.630407,2.249303
12/20/2015,38.782123,2.597734,1.91907,5.20379,0,0,3.378732,2.027932,11.087863,2.585475
12/27/2015,49.903072,9.530756,2.247642,9.546024,0,0,3.378732,2.027932,8.52636,2.376337
01/03/2016,90.562319,10.282348,2.576215,22.657403,0,0,1.482962,2.027932,8.905765,6.174704
01/10/2016,130.452963,16.321143,2.904787,28.607754,0,0,4.395557,2.027932,8.844069,2.037898
01/17/2016,148.278549,12.354281,10.399105,10.311727,0,0,8.880413,2.027932,14.806099,14.409176
01/24/2016,101.371138,16.286212,5.850337,10.195188,0,2.034845,2.922977,4.023356,20.31733,4.054846
01/31/2016,187.144346,15.642786,5.622862,25.460247,0,3.399526,9.86022,7.776608,28.010006,7.877557
02/07/2016,100.921252,26.284447,8.59112,6.075358,0,4.764207,2.875737,1.978305,15.770132,14.128975
02/14/2016,174.501165,66.067199,33.609681,31.018609,0,6.128888,17.543272,12.133075,64.234441,20.528763
02/21/2016,337.047285,147.602928,60.917584,36.443343,0,9.946604,42.074486,7.917837,129.553928,73.788032
02/28/2016,214.378481,51.015671,19.68683,17.68756,0,2.000038,23.905698,7.76008,49.869388,41.64881
03/06/2016,211.971144,29.986397,12.868044,14.016069,0,2.000038,19.809704,1.968858,33.02398,19.807747
03/13/2016,166.975486,30.106922,10.110329,20.103434,0,2.009796,20.262723,2.001363,31.650454,28.164501
03/20/2016,175.045473,16.293544,17.534791,14.27969,0,4.10977,18.846599,2.023321,26.284476,18.316489
03/27/2016,104.65225,22.934283,10.517752,10.443453,0,5.068485,3.00052,2.057798,22.607185,4.18609
04/03/2016,129.1667,29.906345,27.706439,19.97266,0,6.0272,14.391165,3.954418,28.762357,16.145837
04/10/2016,212.701715,33.839766,14.267727,19.937632,0,1.99292,17.12459,1.976976,28.627257,29.817997
04/17/2016,211.347634,85.78549,19.23748,30.686754,0,4.137623,16.360551,8.140851,41.425665,41.038361
04/24/2016,184.590888,41.235737,16.303522,41.301793,0,2.078723,19.204144,4.088833,38.490632,34.867168
05/01/2016,198.582405,17.038734,9.285018,27.732296,0,4.224732,16.874285,8.475036,35.512079,23.73985
05/08/2016,192.295944,38.022221,12.21661,55.008965,1.523483,6.370742,12.230312,10.431429,55.348748,40.594361
05/15/2016,247.144883,53.899578,19.986694,34.550989,1.560823,8.516751,18.452997,21.284842,64.339735,38.669363
05/22/2016,324.077856,85.870619,36.70106,41.901419,1.598163,8.928849,28.67436,15.306795,84.43531,59.912376
05/29/2016,308.461595,68.423662,32.878859,38.83552,1.635502,6.873624,21.228785,4.51464,110.705119,32.209492
06/05/2016,545.687772,142.275013,46.79703,118.007518,1.607542,8.884748,38.487979,15.360872,198.118877,53.642365
06/12/2016,441.919582,85.309633,60.816841,84.049789,0,0,51.474295,15.032653,181.065543,30.477213
06/19/2016,2354.661764,310.699042,259.74928,368.521963,0,33.735822,121.734098,129.186679,890.042226,262.875143
06/26/2016,1617.048286,134.722606,39.042615,163.217777,0,21.428228,16.671746,49.698234,339.477963,85.00125
