Week,What is the EU?,How much does the UK pay to the EU?,What happens if the UK leaves the EU?,How many countries are in the EU?,How do I vote in the EU elections?,How much does each country pay to the EU?,Why should the UK stay in the EU?,When was the EU formed?,Will the UK leave the EU?,Why should the UK leave the EU?
03/30/2014,89.154466,8.49443,0,4.25037,0,1.437673,4.430259,1.414281,4.05277,7.148814
04/06/2014,67.805295,4.587606,0,9.977799,0,1.447599,2.064878,1.422283,4.110528,1.432758
04/13/2014,52.908776,4.587606,0,4.590179,0,1.457525,5.961485,2.145859,5.401859,1.432758
04/20/2014,84.368028,5.746947,1.989367,5.752044,0,1.467451,4.089761,2.869435,6.69319,1.400133
04/27/2014,103.760348,4.201907,2.743638,5.604598,0,1.477376,4.089761,4.194378,7.98452,5.640243
05/04/2014,102.457178,9.921459,3.497909,14.186624,0,0,2.126389,4.245367,6.113913,7.105986
05/11/2014,103.898059,14.19049,4.25218,14.198826,0,0,6.925215,2.833795,6.113913,10.38208
05/18/2014,110.566594,11.799436,6.855151,14.762651,0,0,2.240145,2.945569,4.254136,4.792671
05/25/2014,114.154731,12.878973,2.356112,11.274356,0,0,2.319182,1.607746,15.987579,3.236851
06/01/2014,73.216526,14.06415,2.356112,10.942138,0,0,2.370179,1.560245,4.439008,3.236851
06/08/2014,86.458519,6.548234,2.356112,18.016005,0,3.289614,9.471205,1.580334,2.375303,4.073283
06/15/2014,59.382417,3.289578,2.356112,11.521186,0,3.208558,2.307731,1.600423,2.375303,4.909715
06/22/2014,94.97695,11.441594,2.349984,8.179477,0,0,2.307731,1.620512,2.375303,1.639624
06/29/2014,65.947708,3.284882,0,3.286324,0,0,2.334497,1.6406,4.712295,4.85278
07/06/2014,88.178383,11.334616,0,9.715364,0,0,2.361262,1.594501,2.321343,1.599092
07/13/2014,77.463231,4.789661,0,3.194752,0,0,0,1.594501,2.279174,2.765705
07/20/2014,80.337882,1.65597,0,3.313435,0,0,0,0,2.840988,3.932317
07/27/2014,56.006095,1.677157,0,1.618982,0,1.589448,0,0,3.402802,5.09893
08/03/2014,61.37663,1.698343,0,6.796976,0,1.515423,0,0,3.964617,1.592012
08/10/2014,72.40158,6.256178,0,7.825685,0,1.515423,0,0,4.526431,1.592012
08/17/2014,60.441512,4.808342,0,3.207201,0,1.515423,0,0,4.651068,1.592012
08/24/2014,72.363205,1.602478,0,6.413161,0,1.515423,0,1.600217,2.252555,3.066912
08/31/2014,109.652578,1.537069,0,4.614956,0,1.515423,2.168063,2.355226,2.252555,3.102167
09/07/2014,92.320571,3.114238,0,10.912408,0,2.611838,2.871685,3.110235,2.252555,1.510263
09/14/2014,79.771729,6.05557,2.175499,16.664056,0,3.708253,3.575307,1.511947,4.313254,3.024613
09/21/2014,78.717484,1.507662,2.148692,19.619169,0,4.804668,4.278929,4.517173,2.187406,3.743415
09/28/2014,82.217155,9.12409,2.848583,19.789632,0,5.901083,4.263015,6.07591,2.16441,4.462216
10/05/2014,99.914508,5.940035,3.548473,14.860102,0,2.976945,4.263015,1.481489,2.126628,1.472389
10/12/2014,97.114633,11.875327,4.248364,10.392223,0,1.457337,2.163844,1.481489,2.158294,2.232549
10/19/2014,103.446329,44.210949,2.156614,8.829496,0,1.411841,2.092813,5.878154,6.335794,2.992709
10/26/2014,97.178599,25.353217,2.077674,5.964437,0,1.411841,3.13395,1.488426,6.480972,2.907702
11/02/2014,118.924091,30.634973,2.102993,11.667006,0,1.411841,4.175086,2.909991,12.519764,5.777991
11/09/2014,123.894522,8.64721,2.124394,7.208084,0,1.442254,5.216222,4.316888,12.603059,2.920654
11/16/2014,114.031653,4.366014,2.713793,7.280733,0,1.47624,6.257359,2.908076,4.224958,7.038312
11/23/2014,114.81747,8.436511,3.303192,5.629408,0,1.632343,2.531066,2.809236,2.050772,4.361405
11/30/2014,100.576848,5.786265,3.892591,8.686136,0,1.788446,2.531066,4.335094,2.100687,7.382147
12/07/2014,70.946508,4.398248,4.48199,7.334699,1.974158,1.377814,2.531066,2.92839,2.150603,3.12779
12/14/2014,76.810655,7.824574,0,6.263908,0,1.377814,1.972147,1.562903,6.77992,1.785073
12/21/2014,48.013079,1.793791,0,1.794715,0,0,1.972147,1.371018,2.286785,1.354004
12/28/2014,43.432839,3.174624,0,3.176259,0,0,1.972147,1.371018,2.286785,1.354004
01/04/2015,86.188622,10.988243,0,10.987916,0,0,3.92744,1.371018,1.959558,1.354004
01/11/2015,80.893608,1.372257,0,15.111442,0,0,1.956463,1.370493,2.931708,2.714129
01/18/2015,74.145869,8.210105,0,9.582935,0,0,1.983308,1.350473,3.903859,1.365218
01/25/2015,86.184118,8.116363,1.99731,13.53252,0,0,2.010152,1.350473,5.877953,1.381647
02/01/2015,93.755784,9.744685,1.998073,9.747449,0,0,2.059195,1.376369,3.996805,1.405702
02/08/2015,95.887825,1.404171,1.998836,16.876425,0,0,1.987891,1.402264,3.996805,4.221122
02/15/2015,82.104711,4.226573,1.999599,5.637934,0,0,1.987891,4.221534,2.053378,4.094456
02/22/2015,81.564666,10.934122,2.000363,16.410062,0,0,3.988384,2.729453,3.980237,4.161954
03/01/2015,83.782775,4.15468,3.04029,8.311855,0,3.01447,2.206236,1.382656,3.991133,2.770133
03/08/2015,94.173753,11.113169,4.080218,8.337282,0,1.447799,2.206236,2.774093,2.004439,8.401188
03/15/2015,95.756524,4.194548,4.10174,16.79617,0,1.385151,2.206236,2.792771,2.038127,2.998029
